key,name,ra,dec,distance_modulus,rhalf,ellipticity,distance,rhalf_sph_physical,M_V,ref_structure,ref_distance,ref_m_v,distance_gc,abbrev,Survey,delve_census,dwarf_class,M_V_err,rhalf_sph_physical_err,distance_err
cetus_2,Cetus II,19.47,-17.42,17.38,1.9,,29.92264636608189,16.217100485360696,0.0,DrlicaWagner2015ApJ...813..109D,DrlicaWagner2015ApJ...813..109D,DrlicaWagner2015ApJ...813..109D,32.40272969033092,CetII,DES,True,PD,0.68,6.618880509756189,2.621520748977394
cetus_3,Cetus III,31.331,-4.27,22.0,1.23,0.76,251.1886431509582,42.65451137332207,-3.45,Homma2018PASJ...70S..18H,Homma2024PASJ...76..733H,Homma2024PASJ...76..733H,255.0557687367817,CetIII,DES,False,PD,0.4599999999999999,13.17082504888504,23.168052528519425
columba_1,Columba I,82.85696,-28.04253,21.31,2.2,0.3,182.8100216142741,97.3422271655489,-4.199999999999999,Carlin2017AJ....154..267C,Carlin2017AJ....154..267C,Carlin2017AJ....154..267C,187.3481818010009,ColI,DES,True,D,0.2,12.3181730712827,9.26454500803908
coma_berenices_1,Coma Berenices,186.7454,23.9069,18.13,5.64,0.37,42.26686142656025,54.94140322274969,-4.289999999999999,Munoz2018ApJ...860...66M,Musella2009ApJ...695L..83M,Munoz2018ApJ...860...66M,43.45660826522546,Com,DELVE,True,D,0.25,4.156995595325171,1.5575209985436054
crater_2,Crater II,177.31,-18.413,20.333,31.2,,116.5735440441268,1054.211326577475,-8.182999999999998,Torrealba2016MNRAS.459.2370T,Torrealba2016MNRAS.459.2370T,Torrealba2016MNRAS.459.2370T,115.50381326711188,CrtII,DELVE,True,D,0.1,90.93836804990798,3.758537948888531
delve_2,DELVE 2,28.772,-68.253,19.26,1.04,0.03,71.12135136533296,20.463810925794228,-2.1000000000000014,Cerny2021ApJ...910...18C,Cerny2021ApJ...910...18C,Cerny2021ApJ...910...18C,69.32219558724448,DEL2,DELVE,False,A,0.45,3.5682336255678084,3.2764170644402952
draco_1,Draco,260.0684,57.9185,19.557,9.67,0.29,81.54550000611157,193.2220759612257,-8.866999999999999,Munoz2018ApJ...860...66M,Bhardwaj2024AJ....167..247B,Munoz2018ApJ...860...66M,81.52739842916696,Dra,PS1,True,D,0.05,4.224666387859784,1.5022085736280104
draco_2,Draco II,238.1983333,64.56527778,16.67,3.0,0.23,21.57744409152669,16.100178159934142,-0.8000000000000025,Longeard2018MNRAS.480.2609L,Longeard2018MNRAS.480.2609L,Longeard2018MNRAS.480.2609L,23.84542566256236,DraII,PS1,True,PD,0.7,3.562874879953028,0.4968829154280616
eridanus_2,Eridanus II,56.0925,-43.5329,22.84,2.31,0.48,369.8281797802659,178.94737299613195,-7.119999999999999,Crnojevic2016ApJ...824L..14C,MartinezVazquez2021MNRAS.508.1064M,Crnojevic2016ApJ...824L..14C,371.6548480617636,EriII,DES,True,D,0.3,12.190959992091166,8.5163610387402
eridanus_4,Eridanus IV,76.4246,-9.5189,19.22,3.24,0.26,69.82324040771705,56.179486146022334,-3.549999999999999,Casey2025ApJ...984..148C,Cerny2021ApJ...920L..44C,Casey2025ApJ...984..148C,76.25373125466044,EriIV,DELVE,True,D,0.24,9.37888768355462,3.5385398877602725
fornax_1,Fornax,39.9583,-34.4997,20.77,19.9,0.29,142.5607593602188,695.332994665809,-13.393,Wang2019ApJ...881..118W,Oakes2022ApJ...929..116O,Munoz2018ApJ...860...66M,144.5881999015748,For,DES,True,D,0.2,15.721055878291509,3.1515361192533646
grus_1,Grus I,344.166,-50.168,20.51,4.16,0.44,126.47363474711524,113.4227968338478,-4.130000000000003,Cantu2021ApJ...916...81C,MartinezVazquez2019MNRAS.490.2183M,Cantu2021ApJ...916...81C,122.69506466023478,GruI,DES,True,D,0.3,20.38990029189741,5.826385004394361
